climate.slaapkamer_jan |  |  | tado | 
climate.slaapkamer_stijn |  |  | tado | 
climate.inkom |  |  | tado | 
sensor.ws2300_46_00_signaalsterkte | Signaalsterkte |  | rfxtrx | 
sensor.ws2300_46_00_wind_average_speed | Gemiddelde windsnelheid |  | rfxtrx | 
sensor.ws2300_46_00_wind_gust | Windvlaag |  | rfxtrx | 
sensor.ws2300_46_00_batterij | Batterij |  | rfxtrx | 
sensor.ws2300_46_00_wind_direction | Windrichting |  | rfxtrx | 
event.rolluik_bureau_pieter |  |  | rfxtrx | 
event.rolluik_alles |  |  | rfxtrx | 
event.rolluik_schuifraam |  |  | rfxtrx | 
event.rolluik_bureau_friede |  |  | rfxtrx | 
event.rolluik_living |  |  | rfxtrx | 
event.rolluik_keuken |  |  | rfxtrx | 
event.rolluik_salon |  |  | rfxtrx | 
event.visonic_codesecure_b2be9b_32 |  |  | rfxtrx | 
event.visonic_codesecure_ca74d8_32 |  |  | rfxtrx | 
event.visonic_codesecure_95e601_32 |  |  | rfxtrx | 
event.visonic_codesecure_a0c09b_32 |  |  | rfxtrx | 
event.visonic_codesecure_95e605_32 |  |  | rfxtrx | 
event.visonic_codesecure_ca74d6_32 |  |  | rfxtrx | 
sensor.visonic_codesecure_ca74d6_32_sensor_status | Sensorstatus |  | rfxtrx | 
sensor.visonic_codesecure_ca74d6_32_signaalsterkte | Signaalsterkte |  | rfxtrx | 
sensor.visonic_codesecure_ca74d6_32_batterij | Batterij |  | rfxtrx | 
binary_sensor.select_plus_00_c0 |  |  | rfxtrx | 
event.select_plus_00_c0 |  |  | rfxtrx | 
sensor.select_plus_00_c0_signaalsterkte | Signaalsterkte |  | rfxtrx | 
sensor.select_plus_00_c0_sound | Geluid |  | rfxtrx | 
siren.select_plus_00_c0 |  |  | rfxtrx | 
binary_sensor.select_plus_00_e0 |  |  | rfxtrx | 
event.select_plus_00_e0 |  |  | rfxtrx | 
sensor.select_plus_00_e0_signaalsterkte | Signaalsterkte |  | rfxtrx | 
sensor.select_plus_00_e0_sound | Geluid |  | rfxtrx | 
siren.select_plus_00_e0 |  |  | rfxtrx | 
event.visonic_codesecure_94e605_32 |  |  | rfxtrx | 
sensor.visonic_codesecure_94e605_32_batterij | Batterij |  | rfxtrx | 
sensor.visonic_codesecure_94e605_32_signaalsterkte | Signaalsterkte |  | rfxtrx | 
sensor.visonic_codesecure_94e605_32_sensor_status | Sensorstatus |  | rfxtrx | 
sensor.tfa_30_3133_db_01_signaalsterkte | Signaalsterkte |  | rfxtrx | 
sensor.tfa_30_3133_db_01_batterij | Batterij |  | rfxtrx | 
sensor.tfa_30_3133_db_01_temperatuur | Temperatuur |  | rfxtrx | 
